Temp = None ◦ C, Humidity = None %, Pressure = 909 hPa.
Temp = 31 ◦ C, Humidity = 52 %, Pressure = 977 hPa.
Temp = 31 ◦ C, Humidity = 58 %, Pressure = 977 hPa.
Temp = 17 ◦ C, Humidity = 58 %, Pressure = 977 hPa.
Temp = 17 ◦ C, Humidity = 58 %, Pressure = 1061 hPa.
Temp = 36 ◦ C, Humidity = 58 %, Pressure = 1061 hPa.
Temp = 36 ◦ C, Humidity = 87 %, Pressure = 1061 hPa.
Temp = 26 ◦ C, Humidity = 87 %, Pressure = 1061 hPa.
Temp = 33 ◦ C, Humidity = 87 %, Pressure = 1061 hPa.
Temp = 33 ◦ C, Humidity = 86 %, Pressure = 1061 hPa.
Temp = 33 ◦ C, Humidity = 86 %, Pressure = 1072 hPa.
Temp = 38 ◦ C, Humidity = 86 %, Pressure = 1072 hPa.
Temp = 16 ◦ C, Humidity = 86 %, Pressure = 1072 hPa.
Temp = 16 ◦ C, Humidity = 34 %, Pressure = 1072 hPa.
Temp = 30 ◦ C, Humidity = 34 %, Pressure = 1072 hPa.
Temp = 30 ◦ C, Humidity = 34 %, Pressure = 1072 hPa.
Temp = 17 ◦ C, Humidity = 34 %, Pressure = 1072 hPa.
Temp = 17 ◦ C, Humidity = 67 %, Pressure = 1072 hPa.
Temp = 39 ◦ C, Humidity = 67 %, Pressure = 1072 hPa.
Temp = 34 ◦ C, Humidity = 67 %, Pressure = 1072 hPa.
Temp = 34 ◦ C, Humidity = 71 %, Pressure = 1072 hPa.
Temp = 34 ◦ C, Humidity = 71 %, Pressure = 1097 hPa.
Temp = 18 ◦ C, Humidity = 71 %, Pressure = 1097 hPa.
Temp = 32 ◦ C, Humidity = 71 %, Pressure = 1097 hPa.
Temp = 32 ◦ C, Humidity = 89 %, Pressure = 1097 hPa.
Temp = 35 ◦ C, Humidity = 89 %, Pressure = 1097 hPa.
Temp = 35 ◦ C, Humidity = 89 %, Pressure = 900 hPa.
Temp = 37 ◦ C, Humidity = 89 %, Pressure = 900 hPa.
Temp = 37 ◦ C, Humidity = 69 %, Pressure = 900 hPa.
Temp = 20 ◦ C, Humidity = 69 %, Pressure = 900 hPa.
Temp = 27 ◦ C, Humidity = 69 %, Pressure = 900 hPa.
Temp = 27 ◦ C, Humidity = 74 %, Pressure = 900 hPa.
Temp = 27 ◦ C, Humidity = 74 %, Pressure = 1084 hPa.
Temp = 37 ◦ C, Humidity = 74 %, Pressure = 1084 hPa.
Temp = 39 ◦ C, Humidity = 74 %, Pressure = 1084 hPa.
Temp = 39 ◦ C, Humidity = 79 %, Pressure = 1084 hPa.
Temp = 31 ◦ C, Humidity = 79 %, Pressure = 1084 hPa.
Temp = 31 ◦ C, Humidity = 79 %, Pressure = 940 hPa.
Temp = 35 ◦ C, Humidity = 79 %, Pressure = 940 hPa.
Temp = 35 ◦ C, Humidity = 33 %, Pressure = 940 hPa.
Temp = 20 ◦ C, Humidity = 33 %, Pressure = 940 hPa.
Temp = 15 ◦ C, Humidity = 33 %, Pressure = 940 hPa.
Temp = 15 ◦ C, Humidity = 79 %, Pressure = 940 hPa.
Temp = 15 ◦ C, Humidity = 79 %, Pressure = 974 hPa.
Temp = 33 ◦ C, Humidity = 79 %, Pressure = 974 hPa.
Temp = 32 ◦ C, Humidity = 79 %, Pressure = 974 hPa.
Temp = 32 ◦ C, Humidity = 59 %, Pressure = 974 hPa.
Temp = 37 ◦ C, Humidity = 59 %, Pressure = 974 hPa.
Temp = 37 ◦ C, Humidity = 59 %, Pressure = 900 hPa.
Temp = 39 ◦ C, Humidity = 59 %, Pressure = 900 hPa.
Temp = 39 ◦ C, Humidity = 28 %, Pressure = 900 hPa.
Temp = 27 ◦ C, Humidity = 28 %, Pressure = 900 hPa.
Temp = 23 ◦ C, Humidity = 28 %, Pressure = 900 hPa.
Temp = 23 ◦ C, Humidity = 39 %, Pressure = 900 hPa.
Temp = 23 ◦ C, Humidity = 39 %, Pressure = 1009 hPa.
Temp = 24 ◦ C, Humidity = 39 %, Pressure = 1009 hPa.
Temp = 33 ◦ C, Humidity = 39 %, Pressure = 1009 hPa.
Temp = 33 ◦ C, Humidity = 96 %, Pressure = 1009 hPa.
Temp = 35 ◦ C, Humidity = 96 %, Pressure = 1009 hPa.
Temp = 35 ◦ C, Humidity = 96 %, Pressure = 1094 hPa.
Temp = 32 ◦ C, Humidity = 96 %, Pressure = 1094 hPa.
Temp = 32 ◦ C, Humidity = 34 %, Pressure = 1094 hPa.
Temp = 33 ◦ C, Humidity = 34 %, Pressure = 1094 hPa.
Temp = 27 ◦ C, Humidity = 34 %, Pressure = 1094 hPa.
Temp = 27 ◦ C, Humidity = 46 %, Pressure = 1094 hPa.
Temp = 27 ◦ C, Humidity = 46 %, Pressure = 1100 hPa.
Temp = 40 ◦ C, Humidity = 46 %, Pressure = 1100 hPa.
Temp = 23 ◦ C, Humidity = 46 %, Pressure = 1100 hPa.
Temp = 23 ◦ C, Humidity = 42 %, Pressure = 1100 hPa.
Temp = 36 ◦ C, Humidity = 42 %, Pressure = 1100 hPa.
Temp = 36 ◦ C, Humidity = 42 %, Pressure = 1094 hPa.
Temp = 21 ◦ C, Humidity = 42 %, Pressure = 1094 hPa.
Temp = 21 ◦ C, Humidity = 28 %, Pressure = 1094 hPa.
Temp = 15 ◦ C, Humidity = 28 %, Pressure = 1094 hPa.
Temp = 18 ◦ C, Humidity = 28 %, Pressure = 1094 hPa.
Temp = 18 ◦ C, Humidity = 87 %, Pressure = 1094 hPa.
Temp = 18 ◦ C, Humidity = 87 %, Pressure = 1054 hPa.
Temp = 37 ◦ C, Humidity = 87 %, Pressure = 1054 hPa.
Temp = 25 ◦ C, Humidity = 87 %, Pressure = 1054 hPa.
Temp = 25 ◦ C, Humidity = 40 %, Pressure = 1054 hPa.
Temp = 17 ◦ C, Humidity = 40 %, Pressure = 1054 hPa.
Temp = 17 ◦ C, Humidity = 40 %, Pressure = 1012 hPa.
Temp = 15 ◦ C, Humidity = 40 %, Pressure = 1012 hPa.
Temp = 15 ◦ C, Humidity = 25 %, Pressure = 1012 hPa.
Temp = 38 ◦ C, Humidity = 25 %, Pressure = 1012 hPa.
Temp = 33 ◦ C, Humidity = 25 %, Pressure = 1012 hPa.
Temp = 33 ◦ C, Humidity = 22 %, Pressure = 1012 hPa.
Temp = 33 ◦ C, Humidity = 22 %, Pressure = 966 hPa.
Temp = 30 ◦ C, Humidity = 22 %, Pressure = 966 hPa.
Temp = 30 ◦ C, Humidity = 22 %, Pressure = 966 hPa.
Temp = 30 ◦ C, Humidity = 66 %, Pressure = 966 hPa.
Temp = 29 ◦ C, Humidity = 66 %, Pressure = 966 hPa.
Temp = 29 ◦ C, Humidity = 66 %, Pressure = 995 hPa.
Temp = 28 ◦ C, Humidity = 66 %, Pressure = 995 hPa.
Temp = 28 ◦ C, Humidity = 55 %, Pressure = 995 hPa.
Temp = 31 ◦ C, Humidity = 55 %, Pressure = 995 hPa.
Temp = 40 ◦ C, Humidity = 55 %, Pressure = 995 hPa.
Temp = 40 ◦ C, Humidity = 40 %, Pressure = 995 hPa.
Temp = 40 ◦ C, Humidity = 40 %, Pressure = 1011 hPa.
Temp = 19 ◦ C, Humidity = 40 %, Pressure = 1011 hPa.
Temp = 23 ◦ C, Humidity = 40 %, Pressure = 1011 hPa.
Temp = 23 ◦ C, Humidity = 31 %, Pressure = 1011 hPa.
Temp = 24 ◦ C, Humidity = 31 %, Pressure = 1011 hPa.
Temp = 24 ◦ C, Humidity = 31 %, Pressure = 977 hPa.
Temp = 33 ◦ C, Humidity = 31 %, Pressure = 977 hPa.
Temp = 33 ◦ C, Humidity = 50 %, Pressure = 977 hPa.
Temp = 40 ◦ C, Humidity = 50 %, Pressure = 977 hPa.
Temp = 17 ◦ C, Humidity = 50 %, Pressure = 977 hPa.
Temp = 17 ◦ C, Humidity = 67 %, Pressure = 977 hPa.
Temp = 17 ◦ C, Humidity = 67 %, Pressure = 1008 hPa.
Temp = 24 ◦ C, Humidity = 67 %, Pressure = 1008 hPa.
Temp = 17 ◦ C, Humidity = 67 %, Pressure = 1008 hPa.
Temp = 17 ◦ C, Humidity = 67 %, Pressure = 1008 hPa.
Temp = 38 ◦ C, Humidity = 67 %, Pressure = 1008 hPa.
Temp = 38 ◦ C, Humidity = 67 %, Pressure = 1077 hPa.
Temp = 23 ◦ C, Humidity = 67 %, Pressure = 1077 hPa.
Temp = 23 ◦ C, Humidity = 59 %, Pressure = 1077 hPa.
Temp = 23 ◦ C, Humidity = 59 %, Pressure = 1077 hPa.
Temp = 37 ◦ C, Humidity = 59 %, Pressure = 1077 hPa.
Temp = 37 ◦ C, Humidity = 36 %, Pressure = 1077 hPa.
Temp = 37 ◦ C, Humidity = 36 %, Pressure = 1025 hPa.
Temp = 31 ◦ C, Humidity = 36 %, Pressure = 1025 hPa.
Temp = 26 ◦ C, Humidity = 36 %, Pressure = 1025 hPa.
Temp = 26 ◦ C, Humidity = 35 %, Pressure = 1025 hPa.
Temp = 31 ◦ C, Humidity = 35 %, Pressure = 1025 hPa.
Temp = 31 ◦ C, Humidity = 35 %, Pressure = 915 hPa.
Temp = 26 ◦ C, Humidity = 35 %, Pressure = 915 hPa.
Temp = 26 ◦ C, Humidity = 83 %, Pressure = 915 hPa.
Temp = 27 ◦ C, Humidity = 83 %, Pressure = 915 hPa.
Temp = 16 ◦ C, Humidity = 83 %, Pressure = 915 hPa.
Temp = 16 ◦ C, Humidity = 63 %, Pressure = 915 hPa.
Temp = 16 ◦ C, Humidity = 63 %, Pressure = 993 hPa.
Temp = 20 ◦ C, Humidity = 63 %, Pressure = 993 hPa.
Temp = 28 ◦ C, Humidity = 63 %, Pressure = 993 hPa.
Temp = 28 ◦ C, Humidity = 52 %, Pressure = 993 hPa.
Temp = 40 ◦ C, Humidity = 52 %, Pressure = 993 hPa.
Temp = 40 ◦ C, Humidity = 52 %, Pressure = 967 hPa.
Temp = 39 ◦ C, Humidity = 52 %, Pressure = 967 hPa.
Temp = 39 ◦ C, Humidity = 73 %, Pressure = 967 hPa.
Temp = 18 ◦ C, Humidity = 73 %, Pressure = 967 hPa.
Temp = 19 ◦ C, Humidity = 73 %, Pressure = 967 hPa.
Temp = 19 ◦ C, Humidity = 34 %, Pressure = 967 hPa.
Temp = 19 ◦ C, Humidity = 34 %, Pressure = 1034 hPa.
Temp = 31 ◦ C, Humidity = 34 %, Pressure = 1034 hPa.
Temp = 36 ◦ C, Humidity = 34 %, Pressure = 1034 hPa.
Temp = 36 ◦ C, Humidity = 53 %, Pressure = 1034 hPa.
Temp = 23 ◦ C, Humidity = 53 %, Pressure = 1034 hPa.
Temp = 23 ◦ C, Humidity = 53 %, Pressure = 1045 hPa.
Temp = 15 ◦ C, Humidity = 53 %, Pressure = 1045 hPa.
Temp = 15 ◦ C, Humidity = 43 %, Pressure = 1045 hPa.
Temp = 23 ◦ C, Humidity = 43 %, Pressure = 1045 hPa.
Temp = 40 ◦ C, Humidity = 43 %, Pressure = 1045 hPa.
Temp = 40 ◦ C, Humidity = 94 %, Pressure = 1045 hPa.
Temp = 40 ◦ C, Humidity = 94 %, Pressure = 1047 hPa.
Temp = 28 ◦ C, Humidity = 94 %, Pressure = 1047 hPa.
Temp = 30 ◦ C, Humidity = 94 %, Pressure = 1047 hPa.
Temp = 30 ◦ C, Humidity = 23 %, Pressure = 1047 hPa.
Temp = 26 ◦ C, Humidity = 23 %, Pressure = 1047 hPa.
Temp = 26 ◦ C, Humidity = 23 %, Pressure = 1044 hPa.
Temp = 17 ◦ C, Humidity = 23 %, Pressure = 1044 hPa.
Temp = 17 ◦ C, Humidity = 92 %, Pressure = 1044 hPa.
Temp = 15 ◦ C, Humidity = 92 %, Pressure = 1044 hPa.
Temp = 23 ◦ C, Humidity = 92 %, Pressure = 1044 hPa.
Temp = 23 ◦ C, Humidity = 20 %, Pressure = 1044 hPa.
Temp = 23 ◦ C, Humidity = 20 %, Pressure = 1096 hPa.
Temp = 23 ◦ C, Humidity = 20 %, Pressure = 1096 hPa.
Temp = 38 ◦ C, Humidity = 20 %, Pressure = 1096 hPa.
Temp = 38 ◦ C, Humidity = 20 %, Pressure = 1096 hPa.
Temp = 24 ◦ C, Humidity = 20 %, Pressure = 1096 hPa.
Temp = 24 ◦ C, Humidity = 20 %, Pressure = 929 hPa.
Temp = 33 ◦ C, Humidity = 20 %, Pressure = 929 hPa.
Temp = 33 ◦ C, Humidity = 38 %, Pressure = 929 hPa.
Temp = 21 ◦ C, Humidity = 38 %, Pressure = 929 hPa.
Temp = 38 ◦ C, Humidity = 38 %, Pressure = 929 hPa.
Temp = 38 ◦ C, Humidity = 40 %, Pressure = 929 hPa.
Temp = 38 ◦ C, Humidity = 40 %, Pressure = 1026 hPa.
Temp = 18 ◦ C, Humidity = 40 %, Pressure = 1026 hPa.
Temp = 37 ◦ C, Humidity = 40 %, Pressure = 1026 hPa.
Temp = 37 ◦ C, Humidity = 49 %, Pressure = 1026 hPa.
Temp = 15 ◦ C, Humidity = 49 %, Pressure = 1026 hPa.
Temp = 15 ◦ C, Humidity = 49 %, Pressure = 1035 hPa.
Temp = 29 ◦ C, Humidity = 49 %, Pressure = 1035 hPa.
Temp = 29 ◦ C, Humidity = 97 %, Pressure = 1035 hPa.
Temp = 36 ◦ C, Humidity = 97 %, Pressure = 1035 hPa.
Temp = 17 ◦ C, Humidity = 97 %, Pressure = 1035 hPa.
Temp = 17 ◦ C, Humidity = 22 %, Pressure = 1035 hPa.
Temp = 17 ◦ C, Humidity = 22 %, Pressure = 959 hPa.
Temp = 36 ◦ C, Humidity = 22 %, Pressure = 959 hPa.
Temp = 19 ◦ C, Humidity = 22 %, Pressure = 959 hPa.
Temp = 19 ◦ C, Humidity = 21 %, Pressure = 959 hPa.
Temp = 28 ◦ C, Humidity = 21 %, Pressure = 959 hPa.
Temp = 28 ◦ C, Humidity = 21 %, Pressure = 984 hPa.
Temp = 16 ◦ C, Humidity = 21 %, Pressure = 984 hPa.
Temp = 16 ◦ C, Humidity = 20 %, Pressure = 984 hPa.
Temp = 17 ◦ C, Humidity = 20 %, Pressure = 984 hPa.
Temp = 29 ◦ C, Humidity = 20 %, Pressure = 984 hPa.
Temp = 29 ◦ C, Humidity = 72 %, Pressure = 984 hPa.
Temp = 29 ◦ C, Humidity = 72 %, Pressure = 938 hPa.
Temp = 15 ◦ C, Humidity = 72 %, Pressure = 938 hPa.
Temp = 33 ◦ C, Humidity = 72 %, Pressure = 938 hPa.
Temp = 33 ◦ C, Humidity = 48 %, Pressure = 938 hPa.
Temp = 38 ◦ C, Humidity = 48 %, Pressure = 938 hPa.
Temp = 38 ◦ C, Humidity = 48 %, Pressure = 1005 hPa.
Temp = 33 ◦ C, Humidity = 48 %, Pressure = 1005 hPa.
Temp = 33 ◦ C, Humidity = 33 %, Pressure = 1005 hPa.
Temp = 16 ◦ C, Humidity = 33 %, Pressure = 1005 hPa.
Temp = 22 ◦ C, Humidity = 33 %, Pressure = 1005 hPa.
Temp = 22 ◦ C, Humidity = 89 %, Pressure = 1005 hPa.
Temp = 22 ◦ C, Humidity = 89 %, Pressure = 949 hPa.
Temp = 23 ◦ C, Humidity = 89 %, Pressure = 949 hPa.
Temp = 26 ◦ C, Humidity = 89 %, Pressure = 949 hPa.
Temp = 26 ◦ C, Humidity = 57 %, Pressure = 949 hPa.
Temp = 29 ◦ C, Humidity = 57 %, Pressure = 949 hPa.
Temp = 29 ◦ C, Humidity = 57 %, Pressure = 1012 hPa.
Temp = 20 ◦ C, Humidity = 57 %, Pressure = 1012 hPa.
Temp = 20 ◦ C, Humidity = 25 %, Pressure = 1012 hPa.
Temp = 37 ◦ C, Humidity = 25 %, Pressure = 1012 hPa.
Temp = 36 ◦ C, Humidity = 25 %, Pressure = 1012 hPa.
Temp = 36 ◦ C, Humidity = 33 %, Pressure = 1012 hPa.
Temp = 36 ◦ C, Humidity = 33 %, Pressure = 1053 hPa.
Temp = 23 ◦ C, Humidity = 33 %, Pressure = 1053 hPa.
Temp = 33 ◦ C, Humidity = 33 %, Pressure = 1053 hPa.
Temp = 33 ◦ C, Humidity = 21 %, Pressure = 1053 hPa.
Temp = 35 ◦ C, Humidity = 21 %, Pressure = 1053 hPa.
Temp = 35 ◦ C, Humidity = 21 %, Pressure = 1003 hPa.
Temp = 28 ◦ C, Humidity = 21 %, Pressure = 1003 hPa.
Temp = 28 ◦ C, Humidity = 77 %, Pressure = 1003 hPa.
Temp = 35 ◦ C, Humidity = 77 %, Pressure = 1003 hPa.
Temp = 29 ◦ C, Humidity = 77 %, Pressure = 1003 hPa.
Temp = 29 ◦ C, Humidity = 80 %, Pressure = 1003 hPa.
Temp = 29 ◦ C, Humidity = 80 %, Pressure = 1028 hPa.
Temp = 20 ◦ C, Humidity = 80 %, Pressure = 1028 hPa.
Temp = 33 ◦ C, Humidity = 80 %, Pressure = 1028 hPa.
Temp = 33 ◦ C, Humidity = 76 %, Pressure = 1028 hPa.
Temp = 34 ◦ C, Humidity = 76 %, Pressure = 1028 hPa.
Temp = 34 ◦ C, Humidity = 76 %, Pressure = 1067 hPa.
Temp = 31 ◦ C, Humidity = 76 %, Pressure = 1067 hPa.
Temp = 31 ◦ C, Humidity = 56 %, Pressure = 1067 hPa.
Temp = 36 ◦ C, Humidity = 56 %, Pressure = 1067 hPa.
Temp = 27 ◦ C, Humidity = 56 %, Pressure = 1067 hPa.
Temp = 27 ◦ C, Humidity = 74 %, Pressure = 1067 hPa.
Temp = 27 ◦ C, Humidity = 74 %, Pressure = 903 hPa.
Temp = 15 ◦ C, Humidity = 74 %, Pressure = 903 hPa.
Temp = 20 ◦ C, Humidity = 74 %, Pressure = 903 hPa.
Temp = 20 ◦ C, Humidity = 93 %, Pressure = 903 hPa.
